j,base,n,k_human,sil_human,k_gmm,sil_gmm,k_dbscan,sil_dbscan,k_H_s0,sil_H_s0,ari_H_s0,k_H_s1,sil_H_s1,ari_H_s1,k_H_s2,sil_H_s2,ari_H_s2,k_R_gmm,sil_R_gmm,ari_R_gmm,k_R_dbscan,sil_R_dbscan,ari_R_dbscan,k_R_shuffle,sil_R_shuffle,ari_R_shuffle
14164,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,3,0.3565332918817111,7,0.42048053002816743,2,0.3468107680518694,3.0,0.2851887420664756,0.5504587155963303,3.0,0.34076348780852034,0.1025641025641026,3.0,0.365031638833176,0.1059190031152648,9.0,0.06761125746329429,0.3206751054852321,3.0,0.11889943569469709,-0.038929440389294384,2.0,0.2760108259485679,0.0784313725490196
14176,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,2,0.452884399486844,8,0.41181654415281255,1,,3.0,0.36864334225392764,0.679379007762403,3.0,0.2878200693145649,0.5088231988310667,3.0,0.23208841146528814,0.4031190396050713,9.0,0.30670707474338443,0.17059161401493395,3.0,0.32801732818643287,0.4041885989472505,2.0,0.27698190887728835,0.20877290394225426
14182,f54baffc-bc26-4c4d-b940-824d08daf230,15,3,0.6443316798728668,8,0.3224844024675161,3,0.6443316798728668,3.0,0.6443316798728668,1.0,3.0,0.6443316798728668,1.0,3.0,0.6443316798728668,1.0,8.0,0.2149217442279081,0.3657331136738057,3.0,0.13416379325191558,0.10506174986954255,2.0,0.22074786696154916,0.30616740088105726
14187,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,2,0.577077725279484,8,0.36641621587983275,3,0.9210809893518893,3.0,0.24509496703092665,0.3697478991596639,3.0,0.46172462356758925,0.39893143365983974,3.0,0.4223795231533976,0.39893143365983974,6.0,0.32030603743668545,0.10215482841181164,2.0,0.577077725279484,1.0,2.0,0.10899660325024056,0.09569377990430619
14193,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,3,0.3507826187972237,1,,3,0.37352842568677297,3.0,0.37940621225896537,0.4856443929445088,3.0,0.37759882516711096,0.7504629420532045,3.0,0.37759882516711096,0.7504629420532045,1.0,,0.0,4.0,0.15631795781227012,0.5055526176626123,2.0,0.22407879161932293,0.25533557176488747
14196,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,2,0.33023325040895474,8,0.42427543967368275,4,0.4647149523205244,3.0,0.3544125357422523,0.24,3.0,0.35251985784181117,0.52,3.0,0.30451110997640557,0.22,8.0,0.27465788093222554,0.26666666666666666,4.0,0.23049416906997386,0.12666666666666668,2.0,0.32581493592369576,0.84
14202,e8770f4c-e648-4512-9529-b68de18f7703,30,2,0.4860369752569359,2,0.467277586086515,9,0.6895941852145598,3.0,0.4903603743383569,0.5458859257853279,4.0,0.35201154622400155,0.38145795810029387,4.0,0.2722541713473774,0.21641437284707515,7.0,0.18483806749086643,0.3728096485965965,4.0,0.3697013276527659,0.5919367588932806,2.0,0.22858172993063533,-0.01636588537536877
14212,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,2,0.44986082542262196,1,,2,0.12888205544791959,3.0,0.4161729243783084,0.5921790037292444,3.0,0.30687042275473697,0.5734493334167866,3.0,0.39922115927478985,0.5061709107951883,7.0,0.10824478406775702,0.2323450190404442,4.0,0.3296748063163466,0.3773209136360808,2.0,0.1811449749448174,-0.031460388703052886
14223,f54baffc-bc26-4c4d-b940-824d08daf230,15,3,0.6443316798728668,8,0.3224844024675161,3,0.6443316798728668,3.0,0.6443316798728668,1.0,3.0,0.6443316798728668,1.0,3.0,0.6443316798728668,1.0,8.0,0.2149217442279081,0.3657331136738057,3.0,0.13416379325191558,0.10506174986954255,2.0,0.22074786696154916,0.30616740088105726
14227,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,2,0.31506361289646584,7,0.42048053002816743,2,0.3468107680518694,3.0,0.2851887420664756,0.5010964912280702,3.0,0.34076348780852034,0.211105002748763,3.0,0.365031638833176,0.3084522502744237,9.0,0.06761125746329429,0.18060200668896323,3.0,0.11889943569469709,-0.05831533477321821,2.0,0.2760108259485679,0.16030534351145037
14252,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,2,0.33023325040895474,8,0.42427543967368275,4,0.4647149523205244,3.0,0.40391342609640746,0.4266666666666667,3.0,0.36864766465669846,0.16666666666666666,3.0,0.38376706610772693,0.24,3.0,-0.06270855451296133,-0.013333333333333334,2.0,0.24023671052075696,0.04,2.0,0.34244585199062655,0.6933333333333334
14260,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,3,0.38608846696495924,1,,2,0.12888205544791959,3.0,0.4161729243783084,0.3828911902397504,3.0,0.30687042275473697,0.6238255504136868,3.0,0.39922115927478985,0.28414136032676257,7.0,0.10824478406775702,0.27006878530530687,4.0,0.3296748063163466,0.4032044686167867,2.0,0.1811449749448174,0.16326914633381423
