trial,agent,k,sil
207,gmm,8,0.4854280401923078
207,dbscan,5,0.41192148521366845
208,human,4,0.6376286111759258
208,gmm,8,0.4629110079924554
208,dbscan,4,0.6376286111759258
209,human,7,0.3501723314215112
209,gmm,1,
209,dbscan,10,0.5050324528639097
210,human,11,0.08653626286115743
210,gmm,1,
210,dbscan,3,0.28514417814493426
211,human,6,-0.10359305968902446
211,gmm,1,
211,dbscan,8,0.5301665326556435
212,human,6,0.4371712443030941
212,gmm,1,
212,dbscan,5,0.19469245700237778
213,human,5,0.33855711683567685
213,gmm,8,0.391142968296422
213,dbscan,3,0.11787876231126716
214,human,5,0.27594283096227534
214,gmm,8,0.315785373329594
214,dbscan,4,0.5925424728757434
215,human,4,0.6242746886056378
215,gmm,8,0.3674288906039226
215,dbscan,5,0.48712800898114705
216,human,4,-0.06891105914960217
216,gmm,8,0.4252183365256392
216,dbscan,7,0.28272031657392455
217,human,4,-0.04198332259057265
217,gmm,8,0.1764587343188977
217,dbscan,1,
218,human,5,0.36280103220113735
218,gmm,8,0.27378580651216583
218,dbscan,4,0.6976565449294931
219,human,3,0.11635719759140996
219,gmm,8,0.42427543967368275
219,dbscan,5,0.3237586808878782
220,human,5,-0.07073909903239414
220,gmm,1,
220,dbscan,6,0.2007451274969363
221,human,3,0.48153500925782144
221,gmm,2,0.4672775860865151
221,dbscan,10,0.3827624031689932
222,human,2,0.15335810977002143
222,gmm,8,0.10645946299859359
222,dbscan,2,0.31781281284144763
223,human,7,0.5502145773632487
223,gmm,7,0.5473991894604074
223,dbscan,7,0.48655127480442195
224,human,4,0.4952022395423347
224,gmm,7,0.42048053002816743
224,dbscan,2,0.3468107680518694
225,human,4,0.6376286111759258
225,gmm,8,0.4629110079924554
225,dbscan,4,0.6376286111759258
226,human,4,0.6361145763694069
226,gmm,8,0.3618331591602254
226,dbscan,4,0.6361145763694069
227,human,5,0.5351034843988942
227,gmm,8,0.47409783625815766
227,dbscan,5,0.4153336740669677
228,human,4,0.3454856204900937
228,gmm,8,0.10645946299859359
228,dbscan,2,0.31781281284144763
229,human,3,0.3665458969190514
229,gmm,8,0.21240622087334698
229,dbscan,1,
230,human,2,0.4496362934460837
230,gmm,8,0.41181654415281255
230,dbscan,1,
231,human,3,0.6048444176112269
231,gmm,8,0.4854280401923078
231,dbscan,5,0.41192148521366845
232,human,5,0.4270113694026755
232,gmm,8,0.2268396540761116
232,dbscan,1,
233,human,4,0.29087790469103547
233,gmm,8,0.1764587343188977
233,dbscan,1,
234,human,5,0.41317901363040394
234,gmm,8,0.46909417482119736
234,dbscan,5,0.35964300447429615
235,human,3,0.5983035144857154
235,gmm,8,0.2541787464769895
235,dbscan,3,0.5983035144857154
236,human,4,0.6976565449294931
236,gmm,8,0.27378580651216583
236,dbscan,4,0.6976565449294931
237,human,4,0.3431576065430668
237,gmm,8,0.2800594536364459
237,dbscan,2,0.028907271545995452
238,human,4,0.549840898782786
238,gmm,8,0.33779716799515996
238,dbscan,5,0.4706866209886451
239,human,3,0.6033139659419982
239,gmm,8,0.315785373329594
239,dbscan,4,0.5925424728757434
240,human,4,0.3599283211940484
240,gmm,8,0.33216596406146603
240,dbscan,2,0.1676087672262985
241,human,6,0.44987850061889617
241,gmm,8,0.4497582449614434
241,dbscan,6,0.40489335189054154
242,human,5,0.3916350066543911
242,gmm,8,0.391142968296422
242,dbscan,3,0.11787876231126716
243,human,4,0.6242746886056378
243,gmm,8,0.3674288906039226
243,dbscan,5,0.48712800898114705
244,human,3,0.6443316798728668
244,gmm,8,0.3224844024675161
244,dbscan,3,0.6443316798728668
245,human,7,0.4393908204578894
245,gmm,8,0.3892827778810225
245,dbscan,6,0.3749837386128673
246,human,6,0.4084127011000837
246,gmm,7,0.35998962890167857
246,dbscan,2,0.14134003761741115
247,human,3,0.6714643707196752
247,gmm,8,0.25537479528681467
247,dbscan,4,0.5168514391285018
248,human,7,0.4545585573075904
248,gmm,8,0.36901405786813773
248,dbscan,5,0.3761462634265349
249,human,3,0.4223795231533976
249,gmm,8,0.36641621587983275
249,dbscan,4,0.3793660171080533
250,human,7,0.4663387238490938
250,gmm,8,0.48103562380359066
250,dbscan,8,0.5601012928261464
251,human,7,0.408556021452833
251,gmm,1,
251,dbscan,5,0.19469245700237778
252,human,8,0.41695850114927335
252,gmm,3,0.483838592824444
252,dbscan,10,0.47255255287704134
253,human,9,0.45728429956210664
253,gmm,2,0.4672775860865151
253,dbscan,10,0.3827624031689932
254,human,5,0.3639325505217223
254,gmm,2,0.5084190736730574
254,dbscan,10,0.3122080105465206
255,human,7,0.4002121235571915
255,gmm,1,
255,dbscan,11,0.5103020154481417
256,human,3,0.4434454299572437
256,gmm,2,0.45687190864576444
256,dbscan,10,0.33775231955228074
257,human,6,0.2895573249007902
257,gmm,1,
257,dbscan,5,0.3127332228622638
258,human,4,0.2316361275312514
258,gmm,1,
258,dbscan,9,0.4302236704918843
259,human,4,0.29397531690513934
259,gmm,8,0.47711887022021243
259,dbscan,3,0.2151765223733977
260,human,8,0.44096460689837236
260,gmm,1,
260,dbscan,12,0.5132316011450816
261,human,4,0.4057869419947706
261,gmm,1,
261,dbscan,3,0.28514417814493426
262,human,6,0.2282682360949445
262,gmm,7,0.41383916988116054
262,dbscan,7,0.2968799907871945
263,human,9,0.4183508679093112
263,gmm,1,
263,dbscan,8,0.5301665326556435
264,human,4,0.3543881431998618
264,gmm,1,
264,dbscan,7,0.15553712996968883
265,human,5,0.2050217630021339
265,gmm,1,
265,dbscan,4,0.2494233727840936
266,human,4,0.2632865416695569
266,gmm,8,0.4252183365256392
266,dbscan,7,0.28272031657392455
267,human,5,0.479670331319624
267,gmm,1,
267,dbscan,10,0.5050324528639097
268,human,5,0.24090388739784718
268,gmm,1,
268,dbscan,7,0.25614991394562686
269,human,9,0.26258695034674145
269,gmm,1,
269,dbscan,4,0.31217425023605666
270,human,6,0.2788118335109086
270,gmm,1,
270,dbscan,5,0.25001774478351807
271,human,7,0.3787567527972492
271,gmm,1,
271,dbscan,13,0.4411574452742846
272,human,5,0.43583006087036025
272,gmm,8,0.311294944133682
272,dbscan,4,0.3332529741431673
273,human,3,0.07983147960146603
273,gmm,1,
273,dbscan,1,
274,human,5,0.3575095358015074
274,gmm,1,
274,dbscan,2,0.12888205544791959
275,human,3,0.39987730999431426
275,gmm,8,0.42427543967368275
275,dbscan,5,0.3237586808878782
276,human,4,0.30549484876081473
276,gmm,1,
276,dbscan,8,0.41936541024204904
277,human,3,0.32745862038167856
277,gmm,1,
