j,base,sid,rt,n,ari_H,ari_H0,ari_H1,ari_H2,ari_Rgmm,ari_Rdbscan,ari_Rshuffle,ari_gmm_ref,ari_dbscan_ref,single_within,consensus,sil_human,sil_gmm,sil_dbscan,k_human,k_gmm,k_dbscan
221,e8770f4c-e648-4512-9529-b68de18f7703,exp1/clustering_data_144_1779008203482.json,lasso,30,0.549184442996096,0.7938290914261339,0.4740024183796856,0.3797218191824686,0.5063210958325636,0.8839296543359612,0.2825229137524271,0.3361896936260124,0.28146326989106013,0.4993805264555727,0.7605943863511282,0.48153500925782144,0.467277586086515,0.6895941852145598,3.0,2.0,9.0
224,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1/clustering_data_1526_1778921090612.json,lasso,15,0.35084592182092905,0.2875318066157761,0.35874236598054743,0.4062635928664637,0.28716904276985744,0.17556532663316585,0.20844327176781008,0.7084233261339092,0.16902204635387227,0.45323199770282624,0.6437659033078881,0.4952022395423347,0.42048053002816743,0.3468107680518694,4.0,7.0,2.0
230,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1/clustering_data_1526_1778921090612.json,lasso,20,0.3908890007873497,0.48226003781559335,0.3978650061158679,0.29254195843058795,0.09726103968697596,0.2506388179091212,0.11529933481152992,0.2038216560509554,0.0,0.40099005509324476,0.5238890745071834,0.44963629344608363,0.41181654415281255,nan,2.0,8.0,1.0
244,f54baffc-bc26-4c4d-b940-824d08daf230,exp1/clustering_data_1526_1778921090612.json,lasso,15,1.0,1.0,1.0,1.0,0.3657331136738057,0.10506174986954255,0.30616740088105726,0.3657331136738057,1.0,0.7939158082789267,1.0,0.6443316798728668,0.3224844024675161,0.6443316798728668,3.0,8.0,3.0
249,6b397277-e2cf-4165-9f1a-32aeef65ebbc,exp1/clustering_data_1526_1778921090612.json,lasso,10,0.5041651896490605,0.13461538461538464,0.3778801843317972,1.0,0.22636103151862463,0.39893143365983974,0.1649484536082474,0.18674698795180722,0.4444444444444445,0.3709444285396805,1.0,0.4223795231533976,0.36641621587983275,0.9210809893518893,3.0,8.0,3.0
253,e8770f4c-e648-4512-9529-b68de18f7703,exp1/clustering_data_1526_1778921090612.json,lasso,30,0.27624541197995933,0.2667189816025809,0.27213499946598313,0.28988225487131397,0.38982402448355014,0.3192488262910798,0.15314152219353255,0.16609806023978946,0.9005112072355486,0.3596056534158882,0.4711889132020423,0.45728429956210664,0.467277586086515,0.6895941852145598,9.0,2.0,9.0
265,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1/clustering_data_1526_1778921090612.json,lasso,35,0.3494333728280535,0.445515357316108,0.3013923805840263,0.3013923805840263,0.0,0.4343918474250653,0.03319556374660572,0.0,0.6981891348088531,0.4197487037695801,0.5504654661559788,0.2050217630021339,nan,0.37352842568677297,5.0,1.0,3.0
274,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1/clustering_data_1526_1778921090612.json,lasso,30,0.33389627260420873,0.2973268719712365,0.3351673544245759,0.3691945914168137,0.5794005248860445,0.3065111595905353,0.07114870327756705,0.0,0.1405233482723724,0.3893541488578745,0.43849386174507704,0.3575095358015074,nan,0.12888205544791959,5.0,1.0,2.0
275,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1/clustering_data_1526_1778921090612.json,lasso,25,0.4422522735089102,0.2267282010997643,0.788135593220339,0.3118930262066273,0.3246247915508616,0.23181201988251243,0.5317858084938012,0.3758785493393309,0.9608938547486033,0.5725938522461748,0.9562533417586156,0.39987730999431426,0.42427543967368275,0.4647149523205244,3.0,8.0,4.0
283,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1/clustering_data_1526_1778921090612.json,lasso,15,0.39224483093511836,0.5962451933951595,0.2692474989125707,0.311241800497625,0.2250922509225092,0.4062635928664637,0.3030973451327434,0.7084233261339092,0.16902204635387227,0.5112363460526838,0.6437659033078881,0.4952022395423347,0.42048053002816743,0.3468107680518694,4.0,7.0,2.0
