condition,person_hash,n_mid,observed_k,predicted_k,n_oos_predictions
exp4,person_065,32.5,3.3333333333333335,4.462625,20
exp4,person_065,40.0,3.6,4.706275,20
exp4,person_067,12.5,3.8571428571428568,3.856375,20
exp4,person_067,22.5,4.0,4.199975,20
exp4,person_067,32.5,4.0,4.3869875,20
exp4,person_067,40.0,4.0,4.6240250000000005,20
exp4,person_068,12.5,4.111111111111111,3.8915125,20
exp4,person_068,22.5,4.866666666666666,4.245875,20
exp4,person_068,32.5,4.642857142857143,4.418200000000001,20
exp4,person_068,40.0,5.111111111111111,4.6805625,20
exp4,person_069,12.5,3.1333333333333333,3.8343000000000003,20
exp4,person_069,22.5,3.6111111111111116,4.1848875,20
exp4,person_069,32.5,4.277777777777778,4.4001625,20
exp4,person_069,40.0,4.8,4.6503125,20
exp4,person_071,12.5,3.2,3.91145,20
exp4,person_071,22.5,3.5333333333333328,4.228,20
exp4,person_071,32.5,3.85,4.425625,20
exp4,person_071,40.0,3.6666666666666665,4.65775,20
exp4,person_072,12.5,2.0555555555555554,3.8899749999999997,20
exp4,person_072,22.5,2.5833333333333335,4.2914125,20
exp4,person_072,32.5,2.8333333333333335,4.437975,20
exp4,person_072,40.0,3.625,4.707225,20
exp4,person_073,12.5,3.7222222222222223,3.8540374999999996,20
exp4,person_073,22.5,4.230769230769231,4.2563249999999995,20
exp4,person_073,32.5,4.0625,4.3919875,20
exp4,person_073,40.0,3.7777777777777777,4.64955,20
exp4,person_076,12.5,2.0588235294117645,3.8976875,20
exp4,person_076,22.5,2.210526315789474,4.3070875,20
exp4,person_076,32.5,2.5,4.4838625,20
exp4,person_076,40.0,2.875,4.7413875,20
exp4,person_077,12.5,3.625,3.8685625000000003,20
exp4,person_077,22.5,4.055555555555555,4.2844875,20
exp4,person_077,32.5,4.4375,4.43735,20
exp4,person_077,40.0,4.0,4.6998125,20
exp4,person_078,12.5,3.375,3.8801250000000005,20
exp4,person_078,22.5,4.25,4.2849375,20
exp4,person_078,32.5,5.571428571428571,4.4536750000000005,20
exp4,person_078,40.0,5.8,4.6865000000000006,20
exp4,person_081,12.5,2.111111111111111,3.8760125000000003,20
exp4,person_081,22.5,2.0714285714285716,4.2392,20
exp4,person_081,32.5,2.0714285714285716,4.430525,20
exp4,person_081,40.0,2.1,4.6931125,20
exp4,person_082,12.5,2.6470588235294117,3.8918999999999997,20
exp4,person_082,22.5,2.823529411764706,4.2736375,20
exp4,person_082,32.5,2.9285714285714284,4.4474625,20
exp4,person_082,40.0,3.0,4.68605,20
exp4,person_083,12.5,2.1333333333333333,3.86145,20
exp4,person_083,22.5,2.1052631578947367,4.2787,20
exp4,person_083,32.5,2.0,4.4603625000000005,20
exp4,person_083,40.0,2.0,4.7097,20
exp4,person_085,12.5,2.1666666666666665,3.85445,20
exp4,person_085,22.5,2.75,4.2388375,20
exp4,person_085,32.5,3.25,4.427325000000001,20
exp4,person_085,40.0,3.1666666666666665,4.6846000000000005,20
exp4,person_087,12.5,2.125,3.8465874999999996,20
exp4,person_087,22.5,2.0,4.251212499999999,20
exp4,person_087,32.5,2.0,4.45415,20
exp4,person_087,40.0,2.3333333333333335,4.70185,20
exp4,person_090,12.5,3.0588235294117645,3.8542125,20
exp4,person_090,22.5,3.5,4.2579,20
exp4,person_090,32.5,4.066666666666666,4.423375,20
exp4,person_090,40.0,4.125,4.6812249999999995,20
exp4,person_091,12.5,2.588235294117647,3.8884,20
exp4,person_091,22.5,2.8823529411764706,4.3090375000000005,20
exp4,person_091,32.5,3.0,4.4579,20
exp4,person_091,40.0,3.0,4.7031,20
exp4,person_093,12.5,2.375,3.8825000000000003,20
exp4,person_093,22.5,2.5384615384615383,4.30525,20
exp4,person_093,32.5,2.55,4.4632125,20
exp4,person_093,40.0,2.7142857142857144,4.726825,20
exp4,person_094,12.5,2.6666666666666665,3.88855,20
exp4,person_094,22.5,2.619047619047619,4.251637499999999,20
exp4,person_094,32.5,2.75,4.4315750000000005,20
exp4,person_094,40.0,2.0,4.68675,20
exp4,person_095,12.5,2.75,3.862825,20
exp4,person_095,22.5,3.2631578947368416,4.2616875,20
exp4,person_095,32.5,3.2777777777777777,4.4564125,20
exp4,person_095,40.0,3.0,4.707625,20
exp4,person_100,12.5,2.0,3.8776,20
exp4,person_100,22.5,2.0,4.2810125,20
exp4,person_100,32.5,2.0,4.4431125,20
exp4,person_100,40.0,2.0,4.690424999999999,20
exp4,person_101,12.5,2.5,3.91545,20
exp4,person_101,22.5,2.9375,4.284274999999999,20
exp4,person_101,32.5,3.0625,4.4309875,20
exp4,person_101,40.0,3.3333333333333335,4.703437500000001,20
exp4,person_105,12.5,3.8333333333333335,3.8483625000000004,20
exp4,person_105,22.5,4.625,4.223962500000001,20
exp4,person_105,32.5,5.333333333333333,4.397225000000001,20
exp4,person_105,40.0,5.7,4.6465499999999995,20
exp4,person_106,12.5,3.1333333333333333,3.8975375,20
exp4,person_106,22.5,3.2941176470588234,4.299625000000001,20
exp4,person_106,32.5,3.1176470588235294,4.474875,20
exp4,person_106,40.0,3.5714285714285716,4.7186,20
exp4,person_107,12.5,4.0,3.8537,20
exp4,person_107,22.5,4.2,4.2413625,20
exp4,person_107,32.5,4.6,4.4268625,20
exp4,person_107,40.0,4.555555555555555,4.6693,20
exp4,person_110,12.5,3.2777777777777777,3.9131500000000004,20
exp4,person_110,22.5,4.153846153846154,4.3044625,20
exp4,person_110,32.5,4.894736842105263,4.449025000000001,20
exp4,person_110,40.0,5.666666666666667,4.6930125,20
exp4,person_111,12.5,4.142857142857143,3.8535000000000004,20
exp4,person_111,22.5,5.785714285714286,4.2499125,20
exp4,person_111,32.5,5.0,4.4249125,20
